"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Drezewski R.; Doroz K.","Drezewski, Rafał (35567097300); Doroz, Krzysztof (57195636389)","35567097300; 57195636389","An agent-based co-evolutionary multi-objective algorithm for portfolio optimization","2017","Symmetry","9","9","168","","","","25","10.3390/sym9090168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029415642&doi=10.3390%2fsym9090168&partnerID=40&md5=1037f506ca2a19c33aadab00a8917610","Algorithms based on the process of natural evolution are widely used to solve multi-objective optimization problems. In this paper we propose the agent-based co-evolutionary algorithm for multi-objective portfolio optimization. The proposed technique is compared experimentally to the genetic algorithm, co-evolutionary algorithm and a more classical approach-the trend-following algorithm. During the experiments historical data from the Warsaw Stock Exchange is used in order to assess the performance of the compared algorithms. Finally, we draw some conclusions from these experiments, showing the strong and weak points of all the techniques. © 2017 by the authors.","Agent-based co-evolutionary algorithms; Co-evolutionary algorithms; Genetic algorithms; Multi-objective optimization; Portfolio optimization","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85029415642"
"Cauwet M.-L.; Liu J.; Rozière B.; Teytaud O.","Cauwet, Marie-Liesse (56319734300); Liu, Jialin (56204242600); Rozière, Baptiste (56941890800); Teytaud, Olivier (12242015100)","56319734300; 56204242600; 56941890800; 12242015100","Algorithm portfolios for noisy optimization","2016","Annals of Mathematics and Artificial Intelligence","76","1-2","","143","172","29","14","10.1007/s10472-015-9486-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946113855&doi=10.1007%2fs10472-015-9486-2&partnerID=40&md5=ea80e4bf081d9e7f9c0534357d7ec7de","Noisy optimization is the optimization of objective functions corrupted by noise. A portfolio of solvers is a set of solvers equipped with an algorithm selection tool for distributing the computational power among them. Portfolios are widely and successfully used in combinatorial optimization. In this work, we study portfolios of noisy optimization solvers. We obtain mathematically proved performance (in the sense that the portfolio performs nearly as well as the best of its solvers) by an ad hoc portfolio algorithm dedicated to noisy optimization. A somehow surprising result is that it is better to compare solvers with some lag, i.e., propose the current recommendation of best solver based on their performance earlier in the run. An additional finding is a principled method for distributing the computational power among solvers in the portfolio. © 2015, Springer International Publishing Switzerland.","Algorithm selection; Black-box noisy optimization; Simple regret","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84946113855"
"Chen R.; Liang C.; Gu D.","Chen, Rong (57211894614); Liang, Changyong (10038789900); Gu, Dongxiao (25645808600)","57211894614; 10038789900; 25645808600","IT Project Portfolio Scheduling and Multi-skilled Staff Assignment with Ant Colony Optimization Algorithm","2016","15th Wuhan International Conference on E-Business, WHICEB 2016","","","","505","514","9","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102855861&partnerID=40&md5=d9cc1dc348c648fefe4301ef5f208a2a","Human resource is a key factor for IT new product development. Considering multi-skilled employees in IT Project Portfolio Scheduling, a mixed integer nonlinear programming model with three optimization objectives is proposed from the view of project or product managers. The three objectives are to maximize the increments of skill efficiency values for all multi-skilled employees, to minimize R&D cycle and to minimize R&D costs for the IT product respectively. We develop an improved ant colony optimization algorithm combining with the advantages of genetic algorithm to acquire the Pareto solution set of the multi-objective optimization problem and get the optimal solution by a weighted ideal point method. Finally, empirical analysis is done through a new IT product portfolio scheduling and staff assignment problem of the distribution network automation monitoring terminal from an electrical device company. The empirical results show our model accords with the business’s practice and the proposed algorithm is effective. © 2016, Association for Information Systems. All rights reserved.","ant colony optimization; IT project; multi-skill; portfolio scheduling; staff assignment","Artificial intelligence; Combinatorial optimization; Genetic algorithms; Human resource management; Integer programming; Multiobjective optimization; Nonlinear programming; Product development; Scheduling; Ant Colony Optimization algorithms; Human resource is; IT products; IT project; Key factors; Multi skills; Portfolio scheduling; Project portfolio; Skilled employees; Staff assignments; Ant colony optimization","Conference paper","Final","","Scopus","2-s2.0-85102855861"
"Li W.; Zhang H.; Liang X.","Li, Weiguo (56669171000); Zhang, Hongwei (57209056289); Liang, Xijun (37112569500)","56669171000; 57209056289; 37112569500","A sequential convex approximation algorithm for portfolio optimization model","2017","Dalian Ligong Daxue Xuebao/Journal of Dalian University of Technology","57","3","","321","326","5","2","10.7511/dllgxb201703016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025470498&doi=10.7511%2fdllgxb201703016&partnerID=40&md5=f6be98a256df15d86e0cf069903b5846","CVaR has drawn extensive attentions as a representative convex optimization portfolio model in recent years. To overcome the limits of convex approximations in traditional portfolio models, a DC programming model for portfolio is proposed. In the proposed programming model, a DC function is used as a surrogate for the convex approximation function in the CVaR model. All the constraints are satisfied in the probabilistic sense in the DC programming problem. Moreover, a sequential convex approximation (SCA) algorithm is designed to solve the DC programming problem. The SCA algorithm is implemented by employing Monte-Carlo method. Preliminary experimental results have shown that the objective function values of the DC programming are better than those with CVaR approximation when the income factors satisfy ″high peak and fat tail″ distributions. © 2017, Editorial Office of Journal of Dalian University of Technology. All right reserved.","Convex optimization; Monte-Carlo method; Portfolio; Sequential convex approximation","","Article","Final","","Scopus","2-s2.0-85025470498"
"Fernández-Rendón J.; Rodríguez-Vázquez K.","Fernández-Rendón, Javier (56313779400); Rodríguez-Vázquez, Katya (55993765800)","56313779400; 55993765800","Portfolio optimization using an integer genetic algorithm","2014","GECCO 2014 - Companion Publication of the 2014 Genetic and Evolutionary Computation Conference","","","","1457","1458","1","0","10.1145/2598394.2602278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905671643&doi=10.1145%2f2598394.2602278&partnerID=40&md5=ee4fe33d2d3241c5f3b0112d31be82f1","The portfolio selection is an essential component of fund administration because it contributes to economic growth of the investor. Many of the related works use the Markowitz's mean-variance portfolio selection model approach to solve this optimization problem. However, the use of continuous variables in this approach does not allow us to implement directly the obtained solutions because assets cannot be divided. This paper presents a portfolio selection model that involves integer variables, allowing a more realistic treatment. Due to the complexity of this mixed-integer nonlinear programming problem, a corresponding genetic algorithm is used to solve it.","Genetic algorithm; Markowitz model; Non-linear integer programming; Portfolio optimization","Economics; Financial data processing; Genetic algorithms; Nonlinear programming; Integer genetic algorithm; Markowitz model; Mean-variance portfolios; Mixed integer non-linear programming problems; Non-linear integer programming; Optimization problems; Portfolio optimization; Portfolio selection models; Integer programming","Conference paper","Final","","Scopus","2-s2.0-84905671643"
"Di Giorgio A.; Mercurio A.; Pimpinella L.","Di Giorgio, Alessandro (24723969100); Mercurio, Andrea (27867837100); Pimpinella, Laura (36024499300)","24723969100; 27867837100; 36024499300","Novel approach to generation Portfolio Optimization by using genetic algorithms and stochastic methods","2014","2009 European Control Conference, ECC 2009","","","7074897","3196","3201","5","1","10.23919/ecc.2009.7074897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955196113&doi=10.23919%2fecc.2009.7074897&partnerID=40&md5=66b7cf085f4338670eb4fc5012c31f77","In this paper we present the Portfolio Optimization Problem in the electricity generation framework. We consider traditional and fully controllable energy sources together with wind source, strongly supported by economical benefits but exposed to intermittent generation volatility. Due to the statistical uncertainty about parameters, we formalize the optimization problem in a probabilistic sense and solve it by using Genetic Algorithms. © 2009 EUCA.","Generation Company; Genetic Algorithms; Monte Carlo method; Net Present Value; Portfolio","Financial data processing; Genetic algorithms; Stochastic systems; Electricity generation; Generation companies; Generation portfolios; Net present value; Optimization problems; Portfolio; Portfolio optimization; Statistical uncertainty; Monte Carlo methods","Conference paper","Final","","Scopus","2-s2.0-84955196113"
"Lwin K.; Qu R.; Kendall G.","Lwin, Khin (55579369100); Qu, Rong (13405934600); Kendall, Graham (7006008493)","55579369100; 13405934600; 7006008493","A learning-guided multi-objective evolutionary algorithm for constrained portfolio optimization","2014","Applied Soft Computing Journal","24","","","757","772","15","138","10.1016/j.asoc.2014.08.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908412373&doi=10.1016%2fj.asoc.2014.08.026&partnerID=40&md5=866efb7db6a40f62ed66fe8067576c0d","Portfolio optimization involves the optimal assignment of limited capital to different available financial assets to achieve a reasonable trade-off between profit and risk objectives. In this paper, we studied the extended Markowitz's mean-variance portfolio optimization model. We considered the cardinality, quantity, pre-assignment and round lot constraints in the extended model. These four real-world constraints limit the number of assets in a portfolio, restrict the minimum and maximum proportions of assets held in the portfolio, require some specific assets to be included in the portfolio and require to invest the assets in units of a certain size respectively. An efficient learning-guided hybrid multi-objective evolutionary algorithm is proposed to solve the constrained portfolio optimization problem in the extended mean-variance framework. A learning-guided solution generation strategy is incorporated into the multi-objective optimization process to promote the efficient convergence by guiding the evolutionary search towards the promising regions of the search space. The proposed algorithm is compared against four existing state-of-the-art multi-objective evolutionary algorithms, namely Non-dominated Sorting Genetic Algorithm (NSGA-II), Strength Pareto Evolutionary Algorithm (SPEA-2), Pareto Envelope-based Selection Algorithm (PESA-II) and Pareto Archived Evolution Strategy (PAES). Computational results are reported for publicly available OR-library datasets from seven market indices involving up to 1318 assets. Experimental results on the constrained portfolio optimization problem demonstrate that the proposed algorithm significantly outperforms the four well-known multi-objective evolutionary algorithms with respect to the quality of obtained efficient frontier in the conducted experiments. © 2014 The Authors. Published by Elsevier B.V.","","Constrained portfolios; Multi objective evolutionary algorithms","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84908412373"
"Yi J.; Zheng H.; Yang G.","Yi, Junyan (23494486400); Zheng, He (57188976345); Yang, Gang (57187309300)","23494486400; 57188976345; 57187309300","Testing an evolutionary portfolio algorithm on the CEC2016 real-parameter single objective optimization","2016","2016 IEEE Congress on Evolutionary Computation, CEC 2016","","","7748321","4996","5001","5","1","10.1109/CEC.2016.7748321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008263133&doi=10.1109%2fCEC.2016.7748321&partnerID=40&md5=d8fff010ee6ec3a76c9b046da8443719","In order to take advantages of evolutionary algorithms inspired by different biological evolutions, varieties of approaches have been proposed to combine them together. One of them is the portfolio approach, which keeps choosing a component algorithm from a portfolio of evolutionary algorithms (EAs) to run during the optimizing process. In our approach, each component algorithm has its own population and runs independently without information exchange. At the beginning of each generation, only the component algorithm with the best predicted performance is allowed to run. The proposed portfolio approach is tested on the CEC2016 real-parameter single objective optimization benchmarks. The results show that it is competitive. © 2016 IEEE.","","Bioinformatics; Optimization; Biological evolution; Evolutionary algorithms (EAs); Information exchanges; Predicted performance; Single objective optimization; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-85008263133"
"Cui T.; Bai R.; Parkes A.J.; He F.; Qu R.; Li J.","Cui, Tianxiang (55877037200); Bai, Ruibin (58177693500); Parkes, Andrew J. (7006838103); He, Fang (55206457300); Qu, Rong (13405934600); Li, Jingpeng (8725152600)","55877037200; 58177693500; 7006838103; 55206457300; 13405934600; 8725152600","A hybrid genetic algorithm for a two-stage stochastic portfolio optimization with uncertain asset prices","2015","2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings","","","7257198","2518","2525","7","5","10.1109/CEC.2015.7257198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963607064&doi=10.1109%2fCEC.2015.7257198&partnerID=40&md5=cdd06a6b417afaa599c95c31ba3c73d8","Portfolio optimization is one of the most important problems in the finance field. The traditional mean-variance model has its drawbacks since it fails to take the market uncertainty into account. In this work, we investigate a two-stage stochastic portfolio optimization model with a comprehensive set of real world trading constraints in order to capture the market uncertainties in terms of future asset prices. A hybrid approach, which integrates genetic algorithm (GA) and a linear programming (LP) solver is proposed in order to solve the model, where GA is used to search for the assets selection heuristically and the LP solver solves the corresponding sub-problems of weight allocation optimally. Scenarios are generated to capture uncertain prices of assets for five benchmark market instances. The computational results indicate that the proposed hybrid algorithm can obtain very promising solutions. Possible future research directions are also discussed. © 2015 IEEE.","Genetic Algorithm; Hybrid Algorithm; Portfolio Optimization; Stochastic Programming","Commerce; Costs; Genetic algorithms; Linear programming; Stochastic models; Stochastic programming; Stochastic systems; Computational results; Hybrid algorithms; Hybrid genetic algorithms; Market uncertainty; Mean variance model; Portfolio optimization; Portfolio optimization models; Weight allocation; Electronic trading","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84963607064"
"Panwar D.; Jha M.; Srivastava N.","Panwar, Darsha (57203435541); Jha, Manoj (57211391505); Srivastava, Namita (55799759900)","57203435541; 57211391505; 55799759900","Stock selection and portfolio optimization using teaching-learning-based algorithm","2018","Journal of Advanced Research in Dynamical and Control Systems","10","9","","433","443","10","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065146079&partnerID=40&md5=1ae66ad0adf14b9a97ef599136c7a5e1","Selection of the stocks for investment is difficult because the uncertainty of return. In portfolio selection, the aim is to obtain a proper proportion of assets such that the investor gets maximum return and minimum risk. This article presents a hybrid approach for asset allocation which combines with multiple methodologies like investor topology, cluster analysis, analytical hierarchy process (AHP) for ranking the assets under the criteria: purpose of investment, source of information, dividend and net profit and portfolio selection is done by teaching-learning based optimization (TLBO) with five objectives-return, risk, liquidity, dividend and AHP weighted score. TLBO is population-based algorithm in which two common controlling parameters are needed population size and number of generations to work for it. This paper covers Portfolio optimization which could be of wide interest in business and finance. © 2018, Institute of Advanced Scientific Research, Inc. All rights reserved.","AHP; Cluster analysis; Investor topology; Portfolio optimization; TLBO algorithm","","Note","Final","","Scopus","2-s2.0-85065146079"
"Fraga C.C.S.; Medellín-Azuara J.; Marques G.F.","Fraga, Caetano C.S. (57192645174); Medellín-Azuara, Josué (19934190600); Marques, Guilherme F. (7006311209)","57192645174; 19934190600; 7006311209","Planning for infrastructure capacity expansion of urban water supply portfolios with an integrated simulation-optimization approach","2017","Sustainable Cities and Society","29","","","247","256","9","25","10.1016/j.scs.2016.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007006511&doi=10.1016%2fj.scs.2016.11.003&partnerID=40&md5=cadd05f458a9546164c52bfb2de57660","The expansion and operation of water supply systems under growing demands, hydrologic variability, and water scarcity requires strategic decisions on supply sources for reducing and improving reliability and flexibility. The design and operation of such supply portfolio merits decisions of what and when to expand, and how much of each source to use considering interest rates, economies of scale and hydrologic variability. This paper provides an integrated framework to optimize water supply system expansions using dynamic programming and combining short and long term water supply source optimization using quadratic programming. The approach represents water supply infrastructure features and hydrologic conditions under increasing water demands. Results allow (a) identification of tradeoffs between cost and reliability of various expansion paths and supply source decisions, and (b) evaluation of potential gains from water system loss reductions, an often neglected supply augmenting alternative in developing countries. Results show the need for supply infrastructure expansions can be dampened by investments in reduction of systemwide losses. A losses reduction program cutting losses in half will cost R$ 532 million annually with a minimum system reliability of 60 percent. This program would yield net savings of 2.7 percent with respect to the status quo annual costs. Decreasing system losses from fifty to five percent, will cost R$ 547 million per year with a minimum system reliability of 87 percent. Earlier investments in system loss reduction programs will greatly improve reliability and system expansion costs. The framework proves its usefulness for planning its transferability to similarly urbanized systems. © 2016 Elsevier Ltd","Brazil; Capacity expansion optimization; Urban water supply planning; Water supply loss reduction; Water supply portfolios","Cost reduction; Costs; Developing countries; Dynamic programming; Economics; Expansion; Investments; Quadratic programming; Reliability; Water supply systems; Brazil; Capacity expansion; Design and operations; Hydrologic conditions; Integrated simulations; Loss reduction; Urban water supply; Water supply infrastructures; Water supply","Article","Final","","Scopus","2-s2.0-85007006511"
"Chou Y.-H.; Kuo S.-Y.; Lo Y.-T.","Chou, Yao-Hsin (17345016900); Kuo, Shu-Yu (55557524100); Lo, Yi-Tzu (57188981128)","17345016900; 55557524100; 57188981128","Portfolio Optimization Based on Funds Standardization and Genetic Algorithm","2017","IEEE Access","5","","8049455","21885","21900","15","33","10.1109/ACCESS.2017.2756842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030671849&doi=10.1109%2fACCESS.2017.2756842&partnerID=40&md5=7d74b1b42c636a8ded9563602dff5b16","When investing in the stock market, the first problem and one of paramount importance which investors have to face is making the proper stock selection. Selecting the stocks that simultaneously offer high return and low risk is a difficult problem that is worth investigating. However, the traditional risk calculation based on the modern portfolio theory (MPT) of portfolios has some defects. The MPT method requires the calculations of every relationship between each pair of stocks in the portfolio, entailing high computation complexity, which grows exponentially with the increased number of stocks. Besides, the traditional calculation is unable to calculate the coefficient of variation, and merely considers the relationship between each pair of stocks, so it cannot accurately assess portfolio risk. Therefore, this paper proposes a novel method, funds standardization, and utilizes it to represent the portfolio return and calculate portfolio risk. The fluctuation of portfolio funds standardization shows not only the relationships between each pair of stocks, but also the interactions among all stocks. Hence, utilizing funds standardization can accurately assess portfolio risk and completely represent the mood swings of investors. Compared with the traditional method, the proposed method significantly reduces the computation complexity because the complexity does not increase when the portfolios stock number increases. We combine the genetic algorithm, Sharpe ratio and funds standardization to find the optimal portfolio. In addition, we utilize the sliding window to avoid the over-fitting problem, which is common in this field, and test the effect of all kinds of training and testing periods. The experimental results show that the portfolio can spread the risk effectively, and that the portfolio risk can be assessed accurately by utilizing the funds standardization. Comparing with the traditional method, our method can identify the optimal portfolio efficiently and establish a portfolio that has lower risk and stable return. © 2013 IEEE.","funds standardization; Genetic algorithm (GA); low volatility; modern portfolio theory; Portfolio; Sharpe ratio; stock selection","Electronic trading; Financial data processing; Genetic algorithms; Investments; Optimization; Risk assessment; Standardization; low volatility; Modern portfolio theories; Portfolio; Sharpe ratios; Stock selections; Financial markets","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85030671849"
"Ucar I.; Ozbayoglu A.M.; Ucar M.","Ucar, Ilknur (57188809620); Ozbayoglu, Ahmet Murat (57947593100); Ucar, Mustafa (56086517000)","57188809620; 57947593100; 56086517000","Developing a two level options trading strategy based on option pair optimization of spread strategies with evolutionary algorithms","2015","2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings","","","7257199","2526","2531","5","12","10.1109/CEC.2015.7257199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963614705&doi=10.1109%2fCEC.2015.7257199&partnerID=40&md5=2f3b5d6c75d3289800de87489bb9578a","In this study, a two level options trading strategy is modelled and optimized with Genetic Algorithms and Particle Swarm Optimization for profit maximization. In the first level, the trend is found and in the second level, options trading strategies for the particular trend are determined. The strike prices and expiration dates of the traded options are optimized and tested on 5 different Exchange Traded Funds (ETFs) (DIA, IWM, SPY, XLE, XLF). The performance of the proposed model is compared with Buy and Hold and commonly used technical analysis indicators and the results indicate using optimized options increased the overall profit with less drawdown risk. © 2015 IEEE.","","Algorithms; Commerce; Genetic algorithms; Optimization; Particle swarm optimization (PSO); Profitability; Risk assessment; Exchange-traded funds; Options trading; Profit maximization; Second level; Technical analysis; Evolutionary algorithms","Conference paper","Final","","Scopus","2-s2.0-84963614705"
"Zhang J.L.; Li Y.P.; Wang C.X.; Huang G.H.","Zhang, J.L. (55969155000); Li, Y.P. (26531210500); Wang, C.X. (56489555600); Huang, G.H. (55489745300)","55969155000; 26531210500; 56489555600; 55489745300","An inexact simulation-based stochastic optimization method for identifying effluent trading strategies of agricultural nonpoint sources","2015","Agricultural Water Management","152","","","72","90","18","22","10.1016/j.agwat.2014.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921456020&doi=10.1016%2fj.agwat.2014.12.014&partnerID=40&md5=6441fc7f288ffcb548be0288ad071cd5","Agricultural nonpoint sources (NPS) pollution has long been regarded as the leading challenge in maintaining water quality of receiving water bodies. Effluent trading can serve as a cost-effective way to achieve optimal configuration of discharge permits in agricultural NPS pollution control. However, great difficulties exist in practical effluent trading planning, including uncertainties related to randomness and imprecision, system risk of nutrient loadings being unacceptably high, and factors with spatiotemporal heterogeneity within the watershed. In this study, an inexact simulation-based stochastic optimization method (ISSOM) is developed for identifying effluent trading strategies in response to the above challenges. With the aid of technique of interval analysis, uncertain parameters related to nutrient yields can be handled and dynamic variation of NPS contaminant loadings can be reasonably addressed. Besides, ISSOM can tackle uncertainties expressed as fuzzy, stochastic and interval formats and capture the notion of risk under high-variability situation in NPS pollution control. The ISSOM is applied to a real case of agricultural NPS pollution mitigation through effluent trading in Xiangxihe Watershed. Results show that the uncertainties play a major role in successfully launching an effluent trading program, and trading scheme can mitigate agricultural NPS pollution with an increased system benefit. Results also reveal that the agricultural zones of Xiakou and Gufu are the major pollution sources and main purchasers in effluent trading, and Guizhou zone is the main vendor which contributes least to nutrient discharge. These findings can not only facilitate identification of the main pollution sources and optimal effluent trading schemes, but also gain insight into the tradeoff among the agricultural benefit, system risk, and satisfaction degree. © 2015 Elsevier B.V.","Effluent trading; Fuzzy optimization; Interval simulation; Nonpoint sources; Nutrient transport; Risk analysis","China; Guizhou; Agriculture; Cost effectiveness; Effluents; Nutrients; Optimization; Pollution; Pollution induced corrosion; Risk analysis; Risk assessment; Stochastic systems; Surface waters; Uncertainty analysis; Water pollution; Water quality; Watersheds; Effluent trading; Fuzzy optimization; Interval simulation; Non-point source; Nutrient transport; cost-benefit analysis; effluent; nonpoint source pollution; optimization; pollution control; pollution tax; risk assessment; stochasticity; trade-off; water quality; Pollution control","Article","Final","","Scopus","2-s2.0-84921456020"
"Song X.-Y.; Cui C.; Chen X.-S.; Kang Q.","Song, Xin-Yao (56939579100); Cui, Can (56939845400); Chen, Xiao-Shuang (56927659100); Kang, Qi (58602374800)","56939579100; 56939845400; 56927659100; 58602374800","Solving a portfolio optimisation problem via heuristic algorithms","2015","International Journal of Wireless and Mobile Computing","9","2","","125","132","7","3","10.1504/IJWMC.2015.072572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946090862&doi=10.1504%2fIJWMC.2015.072572&partnerID=40&md5=94e0ba71015959a147b78e56f7592d6a","Portfolio investment has become a fashionable investment with the advantage of risk dispersion. In this work, we examine the ability of three heuristic algorithms to distribute capital associated with the standard mean-variance portfolio optimisation with different risks as constraints. Penalty function is used to deal with the constraint conditions. The three methods considered are Differential Evolution (DE), Comprehensive Learning Particle Swarm Optimiser (CLPSO) and Covariance Matrix Adaption Evolution Strategy (CMA-ES). The results demonstrate that CMA-ES is superior in solving investment portfolio problems in comparison to the other two heuristic algorithms. Copyright © 2015 Inderscience Enterprises Ltd.","Constrained optimisation; Heuristic algorithms; Portfolio optimisation","Constrained optimization; Covariance matrix; Investments; Particle swarm optimization (PSO); Comprehensive learning; Constraint conditions; Differential Evolution; Evolution strategies; Investment portfolio; Mean-variance portfolios; Optimisations; Portfolio optimisation; Heuristic algorithms","Article","Final","","Scopus","2-s2.0-84946090862"
"Liu C.; Gan W.; Chen Y.","Liu, Chong (57202865784); Gan, Wenyan (7103165579); Chen, Yutian (57202868110)","57202865784; 7103165579; 57202868110","Research on portfolio optimization based on affinity propagation and genetic algorithm","2017","Proceedings - 2017 14th Web Information Systems and Applications Conference, WISA 2017","2018-January","","","122","126","4","3","10.1109/WISA.2017.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049614132&doi=10.1109%2fWISA.2017.9&partnerID=40&md5=fcc08b5a5eaf779ec3543413fd5e51b9","Portfolio optimization refers to the reasonable allocation of assets to achieve the investment objectives. At present, the investment environment depression was due to sluggish economic conditions. For investors, they expect to find a balance between return and risk in a complex investment environment. In order to solve this problem, this paper proposes a portfolio optimization algorithm named Portfolio Optimization based on Affinity propagation and Genetic algorithm, as also called POGA, which based on affinity propagation and genetic algorithm. Firstly, the affinity propagation algorithm is used to construct a candidate set of portfolio based on the correlation analysis of the stock time series. Secondly, using the Sharpe-ratio as the Optimization objective function, the genetic algorithm is used to solve an optimal portfolio strategy with higher-return and lower-risk. Finally, the experimental result of real-world stock data show that a portfolio with higher return and lower risk will be selected. © 2017 IEEE.","Affinity algorithm; Cluster analysis; Genetic algorithm; Portfolio optimization","Cluster analysis; Clustering algorithms; Electronic trading; Financial markets; Investments; Time series analysis; Affinity algorithm; Affinity propagation; Candidate sets; Correlation analysis; Economic condition; Optimization algorithms; Portfolio optimization; Propagation algorithm; Sharpe ratios; Stock time series; Genetic algorithms","Conference paper","Final","","Scopus","2-s2.0-85049614132"
"Ruiz-Torrubiano R.; Suárez A.","Ruiz-Torrubiano, Rubén (15051150400); Suárez, Alberto (7202765504)","15051150400; 7202765504","A memetic algorithm for cardinality-constrained portfolio optimization with transaction costs","2015","Applied Soft Computing Journal","36","","","125","142","17","42","10.1016/j.asoc.2015.06.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983489016&doi=10.1016%2fj.asoc.2015.06.053&partnerID=40&md5=7e49b7091352f682781f890859772533","A memetic approach that combines a genetic algorithm (GA) and quadratic programming is used to address the problem of optimal portfolio selection with cardinality constraints and piecewise linear transaction costs. The framework used is an extension of the standard Markowitz mean–variance model that incorporates realistic constraints, such as upper and lower bounds for investment in individual assets and/or groups of assets, and minimum trading restrictions. The inclusion of constraints that limit the number of assets in the final portfolio and piecewise linear transaction costs transforms the selection of optimal portfolios into a mixed-integer quadratic problem, which cannot be solved by standard optimization techniques. We propose to use a genetic algorithm in which the candidate portfolios are encoded using a set representation to handle the combinatorial aspect of the optimization problem. Besides specifying which assets are included in the portfolio, this representation includes attributes that encode the trading operation (sell/hold/buy) performed when the portfolio is rebalanced. The results of this hybrid method are benchmarked against a range of investment strategies (passive management, the equally weighted portfolio, the minimum variance portfolio, optimal portfolios without cardinality constraints, ignoring transaction costs or obtained with L1 regularization) using publicly available data. The transaction costs and the cardinality constraints provide regularization mechanisms that generally improve the out-of-sample performance of the selected portfolios. © 2015 Elsevier B.V.","Combinatorial optimization; Genetic algorithms; Portfolio selection; Transaction costs","Algorithms; Combinatorial mathematics; Combinatorial optimization; Commerce; Constrained optimization; Constraint theory; Costs; Financial data processing; Genetic algorithms; Integer programming; Mathematical transformations; Optimization; Piecewise linear techniques; Quadratic programming; Cardinality constraints; Constrained portfolios; Mixed integer quadratic problems; Optimal portfolio selection; Portfolio selection; Regularization mechanism; Transaction cost; Upper and lower bounds; Electronic trading","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84983489016"
"Mun J.C.; Housel T.","Mun, Johnathan C. (55232723900); Housel, Thomas (9734852800)","55232723900; 9734852800","A risk-based approach to cost-benefit analysis: Strategic real options, Monte Carlo simulation, knowledge value added, and portfolio optimization","2015","Military Cost-Benefit Analysis: Theory and practice","","","","289","312","23","1","10.4324/9781315724690-24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083290054&doi=10.4324%2f9781315724690-24&partnerID=40&md5=811eac6640ac22658358d9695326b5cb","With the advent of games of chance the study of risk and uncertainty increasingly mirrored real-life events. Although games of chance were initially played with great enthusiasm, rarely did anyone consciously determine the odds. It was not until the mid-1600s that the concept of chance was seriously studied: The first such endeavor can be credited to Blaise Pascal, a father of the study of choice, chance, and probability. Fortunately, after many centuries of mathematical and statistical innovations by visionaries such as Pascal, Bernoulli, Bayes, Gauss, Laplace, and Fermat, and with the explosion of computing technology, uncertainty can increasingly be explained with much more elegance through rigorous, methodological applications. Today, with the assistance of powerful software packages, we have the ability to apply these techniques to increase the value of cost-benefit analysis (CBA), or what might be called “risk-benefit analysis.”. © 2015.","","","Book chapter","Final","","Scopus","2-s2.0-85083290054"
