"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Genetic Algorithm and MS Solver for Portfolio Optimization under Exogenous Influence","R. A. Shaikh; A. Abbas","Department of Computer Science, Iqra University, Karachi, Pakistan; Department of Computer Science, Iqra University, Karachi, Pakistan","2009 Second International Conference on Computer and Electrical Engineering","15 Jan 2010","2009","1","","555","558","This study comprises of the Genetic Algorithm (GA) approach to optimize a constrained portfolio for maximum return with an acceptable risk for Karachi Stock Exchange (KSE) assets. The portfolio selection model used in this paper is based on the classical Markowitz mean-variance theory enhanced with exogenous influence of floor and ceiling. The results are compared with MS Excel Solver (Solver). It is found that the model works well under the influence of a high probability of local minima.","","978-1-4244-5365-8","10.1109/ICCEE.2009.173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5380182","Computational Intelligence;Genetic Algorithm;Markowitz Mean-Variance Theory;Operations Research","Genetic algorithms;Portfolios;Constraint optimization;Stock markets;Computational intelligence;Computer science;Floors;Covariance matrix;Evolutionary computation;Particle swarm optimization","","2","","14","IEEE","15 Jan 2010","","","IEEE","IEEE Conferences"
"Research on Portfolio Optimization Based on Affinity Propagation and Genetic Algorithm","C. Liu; W. Gan; Y. Chen","College of Command Information System, PLA University of Science and Technology, Nanjing, China; College of Command Information System, PLA University of Science and Technology, Nanjing, China; College of Command Information System, PLA University of Science and Technology, Nanjing, China","2017 14th Web Information Systems and Applications Conference (WISA)","9 Apr 2018","2017","","","122","126","Portfolio optimization refers to the reasonable allocation of assets to achieve the investment objectives. At present, the investment environment depression was due to sluggish economic conditions. For investors, they expect to find a balance between return and risk in a complex investment environment. In order to solve this problem, this paper proposes a portfolio optimization algorithm named Portfolio Optimization based on Affinity propagation and Genetic algorithm, as also called POGA, which based on affinity propagation and genetic algorithm. Firstly, the affinity propagation algorithm is used to construct a candidate set of portfolio based on the correlation analysis of the stock time series. Secondly, using the Sharpe-ratio as the Optimization objective function, the genetic algorithm is used to solve an optimal portfolio strategy with higher-return and lower-risk. Finally, the experimental result of real-world stock data show that a portfolio with higher return and lower risk will be selected.","","978-1-5386-4806-3","10.1109/WISA.2017.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8332598","Portfolio optimization;Cluster analysis;affinity algorithm;genetic algorithm","Portfolios;Optimization;Clustering algorithms;Biological cells;Genetic algorithms;Correlation;Investment","","2","","19","IEEE","9 Apr 2018","","","IEEE","IEEE Conferences"
"Artificial bee colony algorithm for portfolio optimization","M. Ge","School of Information, Capital University of Economics and Business, Beijing","Fifth International Conference on Intelligent Control and Information Processing","15 Jan 2015","2014","","","449","453","In the financial investment market, one of the most studied problems is the intractability of portfolios. There are no efficiently solutions using traditionally approaches to solve the non-linear portfolio optimization problem. And the previous models based on expected return-variance cannot meet the needs of the investors. In this paper, firstly, we present a semi-variance model which including cardinality constraints. The return per unit of risk is the key factor to determine an investment decision and the extended model includes two sets of constraints: bounds on holdings, cardinality. The first set of constraints guarantee that the amount invested (if any) in each asset is between its predetermined upper and lower bounds. The cardinality constraint ensures that the total number of assets selected in the portfolio is equal to a predefined number. Secondly, in order to solve the nonlinear optimization model, an improved artificial bee colony algorithm (IABC) is designed. In addition, several numerical examples are given to illustrate the modelling idea and the effectiveness of the proposed algorithm.","","978-1-4799-3650-2","10.1109/ICICIP.2014.7010297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7010297","","Portfolios;Optimization;Biological system modeling;Computational modeling;Investment;Algorithm design and analysis;Mathematical model","","2","","19","IEEE","15 Jan 2015","","","IEEE","IEEE Conferences"
"Algorithm based on heuristic subspace searching strategy for solving investment portfolio optimization problems","Dazhi Jiang; Zhijian Wu; Jun Zou; Ming Wei; Lishan Kang","State Key Laboratory of Software Engineering, Wuhan University of China, Wuhan, China; State Key Laboratory of Software Engineering, Wuhan University of China, Wuhan, China; Dpartment of Mathematics, Chinese University of Hong Kong, Hong Kong, China; State Key Laboratory of Software Engineering, Wuhan University of China, Wuhan, China; State Key Laboratory of Software Engineering, Wuhan University of China, Wuhan, China","2008 IEEE Congress on Evolutionary Computation (IEEE World Congress on Computational Intelligence)","23 Sep 2008","2008","","","607","611","There exist many difficulties when investment portfolio problems based on Markowitz model are solved by using some traditional methods, such as Newton method, conjugate gradient method, etc. One of the difficulties is that Markowitz model has rigorous constraint conditions. Evolutionary computation is a parallel global optimization algorithm with high efficiency and it has been widely used in portfolio investment field. A heuristic subspace searching algorithm is put forward in this paper for solving investment portfolio optimization problems based on Markowitz model. The experimental results indicate that this algorithm has an improved efficiency compared with traditional evolutionary computation.","1941-0026","978-1-4244-1822-0","10.1109/CEC.2008.4630858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4630858","","Evolutionary computation","","2","","15","IEEE","23 Sep 2008","","","IEEE","IEEE Conferences"
"Improved particle swarm algorithm for portfolio optimization problem","Jianguo Cao; Liang Tao","Department of Computer Science, Anhui Vocational and Technical College of Industry and Trade, Huainan, China; Key Laboratory of Intelligent Computing & Signal Processing, Ministry of Education, Anhui University, Hefei, China","2010 The 2nd International Conference on Industrial Mechatronics and Automation","3 Aug 2010","2010","2","","561","564","Particle swarm optimization (PSO) is a recently proposed population-based random search algorithm, which performs well in some optimization problems. In this paper, we proposed an improved PSO algorithm to solve portfolio selection problems. The proposed approach IPSO employs an opposite mutation operator to enhance the performance of the standard PSO. In order to verify the performance of IPSO, we test it on five well-known benchmark function optimization problems. At last, we use IPSO to solve a classical portfolio selection problem. The results show that the proposed approach is effective and achieves better results than standard PSO.","","978-1-4244-7656-5","10.1109/ICINDMA.2010.5538246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5538246","particle swarm optimization (PSO);optimization;portfolio selection","Particle swarm optimization;Portfolios;Signal processing algorithms;Benchmark testing;Artificial neural networks;Computer industry;Educational institutions;Genetic mutations;Optimization methods;Support vector machines","","1","","12","IEEE","3 Aug 2010","","","IEEE","IEEE Conferences"
"Pivoting Algorithm for Mean Lower Semi-Absolute Deviation Portfolio Optimization Model","Y. Liu; Z. Zhang","School of Management, Wuhan University of Technology, Wuhan, China; School of Management, Wuhan University of Technology, Wuhan, China","2010 Second International Conference on Multimedia and Information Technology","1 Jun 2010","2010","1","","302","305","Downside loss-averse preferences have seen resurgence in the portfolio management literature. Mean-lower semi absolute deviation (MLSAD) model is one of the most important mean-lower partial moment (MLPM) models. The MLSAD model is established and converted into a linear programming model. The pivoting algorithm for linear programming is presented to solve the model. The pivoting algorithm can deal with equality constraints, variables with lower and upper bounds, free variables directly and conveniently and need not add any auxiliary variables during the course of calculation. These excellent properties guarantee high computing efficiency of the algorithm. Based on the real trade data of Shanghai Security Exchange, the paper calculates the efficient frontier of the MLSAD model. The result shows that the algorithm has high computation efficiency.","","978-1-4244-6602-3","10.1109/MMIT.2010.83","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474282","","Portfolios;Linear programming;Data security;Conference management;Technology management;Paper technology;Loss measurement;Information technology;Random variables;Upper bound","","1","","6","IEEE","1 Jun 2010","","","IEEE","IEEE Conferences"
"Self-adaptive Ant Algorithm for Solving Real Estate Portfolio Optimization","Z. Shu-jing; L. Yan-cang; Z. Zhong-da","College of Civil Engineering, Hebei University of Engineering, Handan, China; College of Civil Engineering, Hebei University of Engineering, Handan, China; College of Civil Engineering, Hebei University of Engineering, Handan, China","2008 International Symposium on Computational Intelligence and Design","22 Dec 2008","2008","1","","241","244","As efficient methods of reducing the investment risks, the real estate portfolio optimization methods and models have some defects. The information entropy was used as the risk measuring index, and a self-adaptive ant algorithm with a changing index was proposed to overcome the deficiency of the basic ant algorithm. Then the improved algorithm was introduced into the real estate portfolio. And the application results indicated that this method has better convergence, stability and robustness in solving the combinatorial optimization problems.","","978-0-7695-3311-7","10.1109/ISCID.2008.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725600","Ant Algorithm;Real Estate Portfolio;Self-adaptive;Optimization","Portfolios;Cities and towns;Investments;Optimization methods;Robust stability;Switches;Clustering algorithms;Computational intelligence;Algorithm design and analysis;Design optimization","","1","","7","IEEE","22 Dec 2008","","","IEEE","IEEE Conferences"
"A genetic relation algorithm with guided mutation for the large-scale portfolio optimization","Y. Chen; C. Yue; S. Mabu; K. Hirasawa","Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan","2009 ICCAS-SICE","13 Nov 2009","2009","","","2579","2584","The survey of the relevant literature showed that there have been many studies for portfolio optimization problem and that the number of studies which have investigated the optimum portfolio using evolutionary computation is quite high. But almost none of these studies deals with genetic relation algorithm (GRA). This study presents an approach to large-scale portfolio optimization problem using GRA with a new operator, called guided mutation. In order to pick up the most efficient portfolio, GRA considers the correlation coefficient between stock brands as strength, which indicates the relation between nodes in each individual of GRA. Guided mutation generates offspring according to the average value of correlation coefficients in each individual. A genetic relation algorithm with guided mutation (GRA/G) for the portfolio optimization is proposed in this paper. Genetic network programming (GNP), which was proposed in our previous research, is used to validate the performance of the portfolio generated with GRA/G. The results show that GRA/G approach is successful in portfolio optimization.","","978-4-907764-34-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5335350","Portfolio Optimization;Genetic Relation Algorithm;Guided Mutation;Genetic Network Programming","Genetic mutations;Large-scale systems;Portfolios;Economic indicators;Production systems;Evolutionary computation","","1","","11","","13 Nov 2009","","","IEEE","IEEE Conferences"
"A class of loan portfolio models in fuzzy random environments and hybrid optimization algorithm","Y. -F. Ning","Department of Computer Science and Technology, Dezhou University, Dezhou, China","2009 International Conference on Machine Learning and Cybernetics","25 Aug 2009","2009","1","","493","497","This paper proposes a class of loan portfolio models in fuzzy random environments based on primitive chance, equilibrium chance, and mean chance, respectively. In the models, the return rates of loan portfolio are all characterized as fuzzy random variables. A hybrid optimization algorithm based on fuzzy random simulation is designed to solve these models. In the algorithm, fuzzy random simulation for estimating the chances is employed to generate a set of input-output data. Then an NN is trained based on the training data to approximate these chance functions. Finally, the NN is embedded in both GA and SPSA. At the end of the paper, an example is given to illustrate the effectiveness of the proposed models and algorithm.","2160-1348","978-1-4244-3702-3","10.1109/ICMLC.2009.5212481","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5212481","Loan portfolio models;Fuzzy random return rates;Fuzzy random variables;Fuzzy random simulation","Portfolios;Random variables;Algorithm design and analysis;Genetic algorithms;Decision making;Neural networks;Fuzzy systems;Machine learning;Cybernetics;Design optimization","","","","20","IEEE","25 Aug 2009","","","IEEE","IEEE Conferences"
"Applying Random Forest Algorithm and Mean-Variance Model in Portfolio Optimization in the China Stock Market","C. -C. Lin; C. -H. Tseng; S. -L. Ho","Dept. of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan; Dept. of Electrical Engineering, Yuan Ze University, Taoyuan, Taiwan; College of Management, Yuan Ze University, Taoyuan, Taiwan","2023 IEEE 5th Eurasia Conference on IOT, Communication and Engineering (ECICE)","12 Jan 2024","2023","","","361","364","Machine learning has been used widely in robots and artificial intelligence (AI). Machine learning and deep learning significantly have contributed to the development of AI in recent years. AI was proposed in 1950 but due to the limitations of hardware and low computational efficiency, it gradually was introduced in the 1980s. However, the advancement of hardware, the considerable improvement in computer processing speed, the learning ability, and the efficiency of machine learning have led to fast growth surpassing human ability in many fields. Machine learning can find the logical relationships between explanatory and explained variables in large amounts of data. Therefore, the financial market is suitable for the application of machine learning. Current applications of machine learning in the financial industry include predicting bond defaults, suspicious transaction forecasting, analyzing suitable loan amounts, predicting and recommending suitable investment suggestions for customers, and investment. Based on this, using historical data such as the trading volume, return, turnover, price-book ratio, price-to-sales ratio, and a price earning ratio of the constituent stocks of the CSI 300 Index, and employing the random forest algorithm in machine learning, we established an investment portfolio strategy for stocks to predict the future price increase and probability of an increase. The mean-variance model was used, and the results showed that the performance of these two types of investment strategies significantly outperformed the CSI 300 Index.","","979-8-3503-1469-4","10.1109/ECICE59523.2023.10382968","National Science and Technology Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10382968","machine learning;mean-variance model;random forest","Machine learning algorithms;Machine learning;Prediction algorithms;Hardware;Indexes;Stock markets;Random forests","","","","7","IEEE","12 Jan 2024","","","IEEE","IEEE Conferences"
"An empirical comparison between nonlinear programming optimization and simulated annealing (SA) algorithm under a higher moments bayesian portfolio selection framework","Jingjing Lu; M. Liechty","LeBow College of Business, Drexel University, Philadelphia, PA, USA; LeBow College of Business, Drexel University, Philadelphia, PA, USA","2007 Winter Simulation Conference","4 Jan 2008","2007","","","1021","1027","The optimal portfolio selection problem has long been of interest to both academics and practitioners. A higher moments Bayesian portfolio optimization model can overcome the shortcomings of the traditional Markowitz approach and take into consideration the skewness of asset returns and parameter uncertainty. This paper presents a comparison between the simulated annealing and the nonlinear programming methods of optimization for the Bayesian portfolio selection problem in which the objective function includes the portfolio mean, variance and skewness. We make the comparison for a utility function that is easily optimized using both methods. In particular we maximize a cubic utility function, and our results show that to achieve the same level of accuracy, the CPU time for the nonlinear programming optimization will be shorter than for the simulated annealing algorithm. Though it is slower, the simulated annealing algorithm is still a viable option for this utility function.","1558-4305","978-1-4244-1305-8","10.1109/WSC.2007.4419700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4419700","","Simulated annealing;Bayesian methods;Portfolios;Optimization methods;Utility theory;Computational modeling;Functional programming;Uncertain systems;Utility programs;Gaussian distribution","","","","14","IEEE","4 Jan 2008","","","IEEE","IEEE Conferences"
"Research on Power Grid Multi-Project Portfolio Investment Optimization Decision Based on RWCS Search Algorithm","Y. Liu","State Grid Shaoxing Power Supply Company, Shaoxing, Zhejiang, China","2023 3rd International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)","28 Feb 2024","2023","","","1","4","In power grid enterprises, the number of investment projects is very large and the amount is huge, and it is necessary to choose carefully when making investment decisions. Investment decision-making is a very important and complex work, which requires the analysis of factors affecting investment and the reasonable allocation of investment funds. Ordinary decision-making methods cannot solve the investment decision-making problem in grid multi-project portfolio investment. Therefore, this paper proposes an RWCS search algorithm for investment decision analysis. With the continuous development of power grid system, multi-project portfolio investment has become the key means to improve the efficiency and benefit of power grid. Optimal decision-making is the basis to ensure the rationality and efficiency of portfolio. In this study, RWCS search algorithm is used to study the multi-project portfolio investment and optimization decisionmaking of power grid, aiming at providing theoretical support and practical guidance for practical projects.","","979-8-3503-1912-5","10.1109/SMARTGENCON60755.2023.10441864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441864","computer;RWCS search algorithm;multi-project portfolio investment in power grids;Investment decisions","Uncertainty;Substations;Power grids;Resource management;Portfolios;Optimization;Investment","","","","13","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"An Evolutionary-based Algorithm for Multi-Period Grouping Stock Portfolio Optimization","C. -H. Chen; C. -Y. Cheng; T. -P. Hong; M. -E. Wu; K. W. Lin; J. C. -W. Lin","Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, National University of Kaohsiung, Kaohsiung, Taiwan; Department of Information and Finance Management, National Taipei University of Technology, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Department of Computing, Mathematics and Physics, Western Norway University of Applied Sciences (HVL), Bergen, Norway","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)","28 Nov 2019","2019","","","2530","2534","In this paper, we propose an algorithm for obtaining a multi-period group stock portfolio based on the grouping genetic algorithm. It encodes a multi-period group stock portfolio into a chromosome by the belonging, grouping, group availability and weight parts. Every chromosome is then evaluated by three factors: the accumulated return, the accumulated safety, and the investment style factors. A front pool which is a set of non-dominated solutions is also maintained to enhance the diversity of the proposed approach. Experiments were conducted on the financial dataset to show the merits of the proposed approach.","2577-1655","978-1-7281-4569-3","10.1109/SMC.2019.8914400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914400","Genetic algorithm;grouping problem;group stock portoflio;multi-period portfolio optimization;multi-period group stock portfolio","Portfolios;Biological cells;Safety;Investment;Optimization;Genetic algorithms;Sociology","","","","13","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"A Parametric Algorithm for Long-Short Portfolio Optimization","Y. Liu; Z. Zhang; F. Xiong; L. Fang","School of Management, Wuhan University of Technology, Wuhan, China; School of Management, Wuhan University of Technology, Wuhan, China; School of Management, Wuhan University of Technology, Wuhan, China; School of Economics, Huazhong University of Science and Technology, Wuhan, China","First International Workshop on Knowledge Discovery and Data Mining (WKDD 2008)","12 Mar 2008","2008","","","279","282","A parametric algorithm is proposed to calculate efficient frontier of long-short portfolio. The key to the algorithm is to introduce parametric technique into the pivoting algorithm. The numerical results show that the algorithm has high computing efficiency.","","978-0-7695-3090-1","10.1109/WKDD.2008.97","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4470394","","Portfolios;Marketing and sales;Jacobian matrices;Sufficient conditions;Data mining;Knowledge management;Technology management;Lagrangian functions;Constraint optimization;Design optimization","","","","8","IEEE","12 Mar 2008","","","IEEE","IEEE Conferences"
"A modified firefly algorithm for fuzzy portfolio optimization model","Y. Wang; W. Chen","School of Information, Capital University of Economics and Business, Beijing; School of Information, Capital University of Economics and Business, Beijing","2016 Chinese Control and Decision Conference (CCDC)","8 Aug 2016","2016","","","4158","4163","In this paper, a possibilistic portfolio selection model with transaction costs is presented, in which transaction cost is assumed as a V-Shaped function. Due to the proposed model is a non-smooth programming problem, a modified firefly algorithm (MFA) is designed. At last, a numerical example is given to illustrate our proposed effective approach.","1948-9447","978-1-4673-9714-8","10.1109/CCDC.2016.7531711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7531711","Portfolio selection;Fuzzy number;Transaction costs;Firefly algorithm","Portfolios;Simulated annealing;Algorithm design and analysis;Heuristic algorithms;Brightness;Linear programming","","","","26","IEEE","8 Aug 2016","","","IEEE","IEEE Conferences"
"Service portfolio optimization algorithm based on value model and graph theory in SOA","Zhi-xin Yang; H. -y. Ning; J. -q. Sun; J. -b. Yang","Key Laboratory of Computer Vision and System, Tianjin University of Technology, Tianjin, China; Key Laboratory of Computer Vision and System, Tianjin University of Technology, Tianjin, China; Key Laboratory of Computer Vision and System, Tianjin University of Technology, Tianjin, China; Key Laboratory of Computer Vision and System, Tianjin University of Technology, Tianjin, China","2013 IEEE 4th International Conference on Software Engineering and Service Science","30 Sep 2013","2013","","","64","67","Business process reengineering frequently occurs in complex service systems because of its dynamic, random and varied running characteristics. To solve the problem, we proposed a novel SOA portfolio optimization algorithm based on value model and graph theory. Firstly, in order to strengthen the QoS analytical capacity of SOA, the value model is introduced into the SOA system to describe customer's service requirements of both function and non-function aspects. Next, a directed graph of SOA services and a value dependence graph of services are provided, as well as a service portfolio optimization algorithm designed based on the graphs. Finally, the simulated data case is used to analyze and verify the methods proposed in this paper. The result shows that introducing the value model and graph algorithm into the SOA-based service system can effectively improve the quality of service portfolio.","2327-0594","978-1-4673-5000-6","10.1109/ICSESS.2013.6615256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6615256","service-oriented architecture (SOA);value model;graph theory;service portfolio optimization","Quality of service;Service-oriented architecture;Algorithm design and analysis;Integrated circuits","","","","10","IEEE","30 Sep 2013","","","IEEE","IEEE Conferences"
"Pivoting Algorithm for Optimization Model of Portfolio Rebalancing with Transaction Costs","Y. Liu; Z. Zhang","School of Management, Wuhan University of Technology, Wuhan, China; School of Management, Wuhan University of Technology, Wuhan, China","2009 International Conference on Computational Intelligence and Natural Computing","4 Sep 2009","2009","1","","269","272","Portfolio optimization is an important branch to which optimization methods are applied. Transaction costs have significant influence on portfolio rebalancing in practice. The introduction of transaction costs into optimal rebalancing model significantly enlarges the size of optimization problem and need more efficient algorithms. We deduce the relationships between the Karush-Kuhn-Tucker (KKT) conditions of the original model and those of its sub-problem. Pivoting algorithm can make full use of these relationships to obtain the optimal solution for the original model efficiently from that for its subproblem.","","978-0-7695-3645-3","10.1109/CINC.2009.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5231147","transaction costs;pivoting algorithm;portfolio optimization;optimal rebalancing","Portfolios;Cost function;Upper bound;Constraint theory;Conference management;Technology management;Electronic mail;Optimization methods;Computational intelligence;Linear programming","","","","6","IEEE","4 Sep 2009","","","IEEE","IEEE Conferences"
"A New Evolutionary Algorithm for Portfolio Optimization and Its Application","W. Wang; J. Hu","International Business College, Shaanxi Normal University, Xi'an, China; International Business College, Shaanxi Normal University, Xi'an, China","2013 Ninth International Conference on Computational Intelligence and Security","24 Feb 2014","2013","","","80","84","Value-at-Risk (VaR) and Conditional Value-at-Risk (CVaR) are two of the most widely used and important risk measures in financial risk management models. Because VaR and CVaR portfolio optimization models are often nonlinear and non-convex optimization models, traditional optimization methods usually can not get their global optimal solutions, instead, they often get a local optimal solution. In this paper, the uniform design is integrated into evolutionary algorithm to enhance the search ability of the evolutionary algorithm. The resulted algorithm will has a strong search ability and has more possibility to get the global optimal solution. Based on this idea, a new evolutionary algorithm is proposed for VaR and CVaR optimization models. Computer simulations on ten randomly chosen stocks from Shenzhen Stock Exchange in China are conducted and the analysis to the results is given. The experiment results indicate the proposed algorithm is efficient.","","978-1-4799-2549-0","10.1109/CIS.2013.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6746360","Portfolio optimization;evolutionary algorithm;Value at Risk;Conditional Value at Risk","Portfolios;Optimization;Reactive power;Biological system modeling;Evolutionary computation;Algorithm design and analysis;Companies","","","","21","IEEE","24 Feb 2014","","","IEEE","IEEE Conferences"
"Optimization Model and Algorithm of Securities Investment Portfolio Based on Support Vector Machine","L. Gong","Xi'an Eurasia University, Xi'an, China","2022 2nd International Conference on Networking, Communications and Information Technology (NetCIT)","28 Mar 2023","2022","","","179","182","As a developing emerging market, my country's financial market is not only credit risk, but other risks such as market risk will also gradually increase with the development of the financial market. Therefore, the research on financial risk management methods is of great significance to the current and future my country's financial innovation and investment decision-making by investment institutions. As an indispensable part of the securities investment process, securities investment analysis is the basis for making investment decisions, and it occupies a very important position in the investment process. The biggest feature of support vector machine is that it has changed the traditional empirical risk minimization principle, and proposed for the structural risk minimization principle, so it has a good generalization ability. This paper studies and analyzes the optimization of securities investment portfolio based on support vector machines.","","978-1-6654-9273-7","10.1109/NetCIT57419.2022.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10078934","Vector machine;portfolio investment;Optimization model","Support vector machines;Technological innovation;Uncertainty;Machine learning algorithms;Decision making;Security;Risk management","","","","14","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Artificial bee colony algorithm for real estate portfolio optimization based on risk preference coefficient","L. Hong-mei; W. Zhuo-fu; L. Hui-min","School of Architectural Engineering, Nantong University, China; Business School, Hohai University, HHU, China; Business School, Hohai University, HHU, China","2010 International Conference on Management Science & Engineering 17th Annual Conference Proceedings","24 Feb 2011","2010","","","1682","1687","Optimization of real estate portfolio is to select two or more different types of real estate for investment, and the previous models based on expected return-variance cannot meet the needs of the investors. Furthermore, the investors change their risk preference with the risk level. In this study, firstly, the semi-variance model of real estate investment portfolio based on risk preference coefficient was constructed. The return per unit of risk is the key factor to determine an investment decision. Secondly, artificial bee colony algorithm (ABC) was employed to solve the constructed model. Finally, a real-world case was analyzed to verify the performance of ABC. The result indicated that ABC could generate better solution than GA and it could be regarded as a useful approach for solving real estate portfolio problem.","2155-1855","978-1-4244-8119-4","10.1109/ICMSE.2010.5720009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5720009","real estate portfolio;combinatorial optimization;artificial bee colony algorithm;risk preference coefficient;semi-variance","Portfolios;Investments;Optimization;Computational modeling;Biological system modeling;Iterative methods;Adaptation model","","","","21","IEEE","24 Feb 2011","","","IEEE","IEEE Conferences"
"Penalty ADM Algorithm for mean-Conditional Value-at-Risk portfolio optimization problem","T. Khodamoradi; M. Salahi; A. R. Najafi","Department of Applied Mathematics, Faculty of Mathematical Sciences, University of Guilan, Rasht, Iran; Department of Applied Mathematics, Faculty of Mathematical Sciences, University of Guilan, Rasht, Iran; Department of Applied Mathematics, Faculty of Mathematical Sciences, University of Guilan, Rasht, Iran","2021 52nd Annual Iranian Mathematics Conference (AIMC)","29 Dec 2021","2021","","","18","20","In this paper, we consider the mean-Conditional Value-at-Risk portfolio optimization problem including short-selling and cardinality constraints. The penalty alternating direction method is used to solve the mixed-integer linear model. Experiments are conducted to show the efficiency of the proposed method using the data set of the S&P index for 2018.","","978-1-7281-7176-0","10.1109/AIMC54250.2021.9657035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9657035","Portfolio optimization;Mean-CVaR;Penalty alternating direction method","Mathematical models;Indexes;Portfolios;Optimization","","","","5","IEEE","29 Dec 2021","","","IEEE","IEEE Conferences"
"Truncated Quantile Critics Algorithm for Cryptocurrency Portfolio Optimization","L. Xiao; X. Wei; Y. Xu; X. Xu; K. Gong; H. Li; F. Zhang","Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China; Northwestern Polytechnical University, Shanxi, China","2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","29 Jan 2024","2023","","","2208","2213","This paper investigates portfolio management algorithm for the cryptocurrency market by using the TQC (Truncated Quantile Critics) algorithm. The study is based on the daily prices of cryptocurrencies. TQC is a deep reinforcement learning algorithm with the Actor-Critic architecture. It alleviates the overestimation problem of traditional value learning algorithm. In this paper, the data of cryptocurrencies are first processed as input to the networks. The inputs to the networks include not only the closing prices of cryptocurrencies, but also the relative strength index, moving average line, and moving average convergence divergence. Various metrics measuring algorithm returns and algorithm stability are used as evaluation criteria in this paper. In this paper, common deep reinforcement learning algorithms are compared. The experimental results show that the TQC algorithm has a highest return of 33.9 % during the test period, which is 3 %, 3 % and 15.6 % higher than A2C, PPO and DDPG respectively. And, the TQC algorithm has the highest stability of return, which is an important evaluation metric for portfolio management algorithms. Despite the high volatility of the cryptocurrency market, the performance of the TQC algorithm has remained relatively stable. This illustrates the positive effects of the TOC algorithm.","2577-1655","979-8-3503-3702-0","10.1109/SMC53992.2023.10393867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393867","Portfolio management;Modern portfolio theory;Deep reinforcement learning;Technical analysis","Measurement;Deep learning;Stability criteria;Reinforcement learning;Cryptocurrency;Indexes;Portfolios","","","","22","IEEE","29 Jan 2024","","","IEEE","IEEE Conferences"
