source,title,authors,DOI,issue year,type,number of citations,link
scopus,The application of genetic algorithm optimization on quadratic investment portfolio without a risk-free asset under Value-at-Risk,Sukono; Supian S.; Napitupulu H.; Hidayat Y.; Putra A.S.,10.1088/1742-6596/1090/1/012026,2018,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054516590&doi=10.1088%2f1742-6596%2f1090%2f1%2f012026&partnerID=40&md5=aa5b75b49afe0f0201b3e6a5ea36fa8b
scopus,An effective league championship algorithm for the stochastic multi-period portfolio optimization problem,Kashan A.H.; Eyvazi M.; Abbasi-Pooya A.,10.24200/sci.2018.20995,2021,Article,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099707212&doi=10.24200%2fsci.2018.20995&partnerID=40&md5=e79964341f801c681e889927811337d2
scopus,Multi-objective Evolutionary Algorithm Based on Data Analysis and Its Application in Portfolio Optimization,Jiang R.W.; Tang J.,10.1007/978-3-030-87903-7_55,2021,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118163216&doi=10.1007%2f978-3-030-87903-7_55&partnerID=40&md5=711cdee9407e5ce2a968c0502cc50ffd
scopus,A parallel variable neighborhood search algorithm with quadratic programming for cardinality constrained portfolio optimization,Akbay M.A.; Kalayci C.B.; Polat O.,10.1016/j.knosys.2020.105944,2020,Article,49,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083714911&doi=10.1016%2fj.knosys.2020.105944&partnerID=40&md5=44a61222f92d5495dde07cd827ca2b07
scopus,Application of Genetic and Particle Swarm Optimization Algorithms to Portfolio Optimization Problem: Borsa Istanbul and Crypto Money Exchange;,Huseyinov I.; Ulucay S.,10.1109/UBMK.2019.8907225,2019,Conference paper,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076225224&doi=10.1109%2fUBMK.2019.8907225&partnerID=40&md5=b334185c01144a6b0717be8aff75b7c9
scopus,Hybrid Evolutionary Algorithm with Inexact Line Search for Solving Non-linear Stock-Bond Portfolio Optimization Problems,Liu C.-A.,,2020,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151009017&partnerID=40&md5=77b4735e0a20cabbd58368f6be1e69f4
scopus,Comparing bio-inspired heuristic algorithm for the mean-CVaR portfolio optimization,Setiawan E.P.,10.1088/1742-6596/1581/1/012014,2020,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089109569&doi=10.1088%2f1742-6596%2f1581%2f1%2f012014&partnerID=40&md5=15fdf0f3846604f721647cfc3e241b77
scopus,Application of robust optimization for a product portfolio problem using an invasive weed optimization algorithm,Goli A.; Zare H.K.; Tavakkoli-Moghaddam R.; Sadeghieh A.,10.3934/naco.2019014,2019,Article,54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062069773&doi=10.3934%2fnaco.2019014&partnerID=40&md5=365436419160fd587b85b7b47fdc5f03
scopus,Intelligent Optimization Algorithm Based on Big Data in Behavioral Finance of Securities Investment,Zhang X.,10.1109/CAIBDA53561.2021.00059,2021,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116686248&doi=10.1109%2fCAIBDA53561.2021.00059&partnerID=40&md5=810b368af1643553602ad4a2eb0e677a
scopus,A Novel Hybrid ICA-FA Algorithm for Multiperiod Uncertain Portfolio Optimization Model Based on Multiple Criteria,Chen W.; Li D.; Liu Y.-J.,10.1109/TFUZZ.2018.2829463,2019,Article,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045767052&doi=10.1109%2fTFUZZ.2018.2829463&partnerID=40&md5=d7e10f86ebded07a2acf4a21b94dc97c
scopus,Industrial Portfolio Management for Many-Objective Optimization Algorithms,Rodemann T.,10.1109/CEC.2018.8477693,2018,Conference paper,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056257637&doi=10.1109%2fCEC.2018.8477693&partnerID=40&md5=fbf78858eb63ca0f4008e6e70a42dcc6
scopus,Multivariate portfolio optimization under illiquid market prospects: a review of theoretical algorithms and practical techniques for liquidity risk management,Al Janabi M.A.M.,10.1108/JM2-07-2019-0178,2021,Review,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087552053&doi=10.1108%2fJM2-07-2019-0178&partnerID=40&md5=33206c794d117e59151e51e7784edfba
scopus,Genetic Algorithms for Portfolio Optimization with Weighted Sum Approach,Faia R.; Pinto T.; Vale Z.; Corchado J.M.; Soares J.; Lezama F.,10.1109/SSCI.2018.8628773,2018,Conference paper,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062793032&doi=10.1109%2fSSCI.2018.8628773&partnerID=40&md5=d70b983d10ad4311635206f6f5b02a39
scopus,A novel firefly algorithm for portfolio optimization problem,Wang J.,,2019,Article,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066235320&partnerID=40&md5=0d35319d8d3e277ae80fce851f21c177
scopus,Portfolio optimization in both long and short selling trading using trend ratios and quantum-inspired evolutionary algorithms,Chou Y.-H.; Jiang Y.-C.; Kuo S.-Y.,10.1109/ACCESS.2021.3126652,2021,Article,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120325031&doi=10.1109%2fACCESS.2021.3126652&partnerID=40&md5=65f5613dade2767b887338ae05b8d515
scopus,Fusing Economic Indicators for Portfolio Optimization-A Simulation-Based Approach,Yu J.; Le T.; Chang K.C.; Guharay S.,,2019,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081790112&partnerID=40&md5=0dc671f1a3a73c3509d7b311b3676410
scopus,Neural Network Predictive Modeling on Dynamic Portfolio Management—A Simulation-Based Portfolio Optimization Approach,Yu J.; Chang K.-C.,10.3390/jrfm13110285,2020,Article,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119139806&doi=10.3390%2fjrfm13110285&partnerID=40&md5=2d5f34431552c3e4025ae354df2af815
scopus,Theoretical and practical foundations of liquidity-adjusted value-at-risk (LVaR): Optimization algorithms for portfolio selection and management,Al janabi M.A.M.,,2019,Book chapter,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104217570&partnerID=40&md5=5520ea42f49770b3e1a428b850127a38
scopus,Stock portfolio optimization using priority index and genetic algorithm,Vasiani V.D.; Handari B.D.; Hertono G.F.,10.1088/1742-6596/1442/1/012031,2020,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079689371&doi=10.1088%2f1742-6596%2f1442%2f1%2f012031&partnerID=40&md5=6ebf9c6cd833db1b346e501a56fa4914
scopus,A Decomposition-Based Hybrid Estimation of Distribution Algorithm for Practical Mean-CVaR Portfolio Optimization,Wang Y.; Chen W.,10.1007/978-3-030-26969-2_4,2019,Conference paper,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070555913&doi=10.1007%2f978-3-030-26969-2_4&partnerID=40&md5=a167d759fb81fc9b422a957dfa308304
scopus,Implementation of e-New Local Search based Multiobjective Optimization Algorithm and Multiobjective Co-variance based Artificial Bee Colony Algorithm in Stocks Portfolio Optimization Problem,Ramadhiani R.; Yan M.; Hertono G.F.; Handari B.D.,10.1109/ICICOS.2018.8621646,2018,Conference paper,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062500947&doi=10.1109%2fICICOS.2018.8621646&partnerID=40&md5=cb2acfefc42dd029be816a7abf970a95
scopus,Optimization of Investment Portfolio Based on Improved Multi-Objective Genetic Algorithm,Li H.,10.1145/3474880.3474903,2021,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121210934&doi=10.1145%2f3474880.3474903&partnerID=40&md5=66163c0ac6e46ca9a3fdab60faa4553a
scopus,Lasso-based simulation for high-dimensional multi-period portfolio optimization,Li Z.; Tsang K.H.; Wong H.Y.,10.1093/imaman/dpz013,2020,Article,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091008954&doi=10.1093%2fimaman%2fdpz013&partnerID=40&md5=1e7c74cf30eea2fc6e3329a4d6bfd62c
scopus,A MULTI-OBJECTIVE FIREFLY ALGORITHM FOR PRACTICAL PORTFOLIO OPTIMIZATION PROBLEM,Lazulfa I.,10.22342/JIMS.25.3.821.282-291,2019,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147472914&doi=10.22342%2fJIMS.25.3.821.282-291&partnerID=40&md5=9e868b22805b40e8064d26cea58e5827
scopus,An exact algorithm for small-cardinality constrained portfolio optimisation,Graham D.I.; Craven M.J.,10.1080/01605682.2020.1718019,2021,Article,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079710322&doi=10.1080%2f01605682.2020.1718019&partnerID=40&md5=97a010bbc4ec050e48319c744cb88a1a
scopus,LP algorithms for portfolio optimization: The portfoliooptim package,Palczewski A.,10.32614/rj-2018-028,2018,Article,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053864492&doi=10.32614%2frj-2018-028&partnerID=40&md5=c89c175767eaa56fca73e0e741f8f76a
scopus,"Portfolio Optimization in Traffic Offloading: Concept, Model, and Algorithms",Xu D.; Li Y.; Xia T.; Li J.; Hui P.,10.1109/TMC.2019.2946811,2021,Article,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095791768&doi=10.1109%2fTMC.2019.2946811&partnerID=40&md5=472d69097561c017867a9935ebf7d8f7
scopus,GAN-MP hybrid heuristic algorithm for non-convex portfolio optimization problem,Kim Y.; Kang D.; Jeon M.; Lee C.,10.1080/0013791X.2019.1620391,2019,Article,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067667285&doi=10.1080%2f0013791X.2019.1620391&partnerID=40&md5=42c41058b39ea58da9f0de5b72bb61b7
scopus,Multi-objective heuristic algorithms for practical portfolio optimization and rebalancing with transaction cost,Meghwani S.S.; Thakur M.,10.1016/j.asoc.2017.09.025,2018,Article,37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031715697&doi=10.1016%2fj.asoc.2017.09.025&partnerID=40&md5=bbaa4e2b821c13279d8daaf3d9a8a80e
scopus,An evolutionary-based algorithm for multi-period grouping stock portfolio optimization,Chen C.-H.; Cheng C.-Y.; Hong T.-P.; Wu M.-E.; Lin K.W.; Lin J.C.-W.,10.1109/SMC.2019.8914400,2019,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076732133&doi=10.1109%2fSMC.2019.8914400&partnerID=40&md5=fe38a55dff7dba491317c4e6c8ade434
scopus,Penalty ADM Algorithm for mean-Conditional Value-at-Risk portfolio optimization problem,Khodamoradi T.; Salahi M.; Najafi A.R.,10.1109/AIMC54250.2021.9657035,2021,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124573465&doi=10.1109%2fAIMC54250.2021.9657035&partnerID=40&md5=646b19aa8158f605fc3b122da7028acd
scopus,Portfolio optimization using genetic algorithm and harmony search algorithm with varying operators and parameter values,Lai K.H.; Siow W.J.; Kaw A.A.B.M.N.; Ong P.; Zainuddin Z.,10.1063/1.5136493,2019,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076778653&doi=10.1063%2f1.5136493&partnerID=40&md5=b393eec04cd867a8c376565327d08601
scopus,Quantum algorithms for portfolio optimization,Kerenidis I.; Prakash A.; Szilágyi D.,10.1145/3318041.3355465,2019,Conference paper,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074761910&doi=10.1145%2f3318041.3355465&partnerID=40&md5=88584b30d6c0ebdac12e74eca9b3ea01
scopus,Different Length Genetic Algorithm-Based Clustering of Indian Stocks for Portfolio Optimization,Mukhopadhyay S.; Chaudhuri T.D.,10.1007/978-981-10-8974-9_3,2019,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146934446&doi=10.1007%2f978-981-10-8974-9_3&partnerID=40&md5=62259cce74df4585b3216d5d68a73bcb
scopus,Squirrel search algorithm for portfolio optimization,Dhaini M.; Mansour N.,10.1016/j.eswa.2021.114968,2021,Article,22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105099567&doi=10.1016%2fj.eswa.2021.114968&partnerID=40&md5=e00713ece758e774c6f6974bc3da9638
scopus,Whale optimization algorithm for multiconstraint second-order stochastic dominance portfolio optimization,Zhai Q.H.; Ye T.; Huang M.X.; Feng S.L.; Li H.,10.1155/2020/8834162,2020,Article,20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090817312&doi=10.1155%2f2020%2f8834162&partnerID=40&md5=3e245b2ef0ac25e881172f5f503af28d
scopus,The investment strategy and capacity portfolio optimization in the supply chain with spillover effect based on artificial fish swarm algorithm,Zheng Z.L.; Bao X.,10.14743/apem2019.2.325,2019,Article,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069582054&doi=10.14743%2fapem2019.2.325&partnerID=40&md5=936dfa15990966b9f8c273f44ed4bf21
scopus,Applying An Adaptive Multi-Population Optimization Algorithm to Enhance Machine Learning Models for Computational Finance,Li Z.; Tam V.; Yeung L.K.; Li Z.,10.1109/HPCC-SmartCity-DSS50907.2020.00170,2020,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105296999&doi=10.1109%2fHPCC-SmartCity-DSS50907.2020.00170&partnerID=40&md5=af36a28025e726474e357718e9ba7afb
scopus,Optimization of blockchain investment portfolio under artificial bee colony algorithm,Deng Y.; Xu H.; Wu J.,10.1016/j.cam.2020.113199,2021,Article,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091626739&doi=10.1016%2fj.cam.2020.113199&partnerID=40&md5=2452e6459570f1b9af02f0371056b988
scopus,A comparison on particle swarm optimization and genetic algorithm performances in deriving the efficient frontier of stocks portfolios based on a mean-lower partial moment model,Mahmoudi A.; Hashemi L.; Jasemi M.; Pope J.,10.1002/ijfe.2086,2021,Article,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090939321&doi=10.1002%2fijfe.2086&partnerID=40&md5=46363892af112615c18a74694a8a8e0a
scopus,Novel Deep Reinforcement Algorithm with Adaptive Sampling Strategy for Continuous Portfolio Optimization,Huang S.; Miao Y.; Hsiao Y.,10.1109/ACCESS.2021.3082186,2021,Article,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107181186&doi=10.1109%2fACCESS.2021.3082186&partnerID=40&md5=d4c1c8e776d4fa9987ee1f949d967b6d
scopus,Robust hybrid optimization method to reduce investment portfolio risk using fusion of modern portfolio theory and genetic algorithm,Abu Bakar N.; Rosbi S.,10.35940/ijeat.F1023.0986S319,2019,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075422190&doi=10.35940%2fijeat.F1023.0986S319&partnerID=40&md5=9b996138ad6c9f0dbc862458dc28712f
scopus,A new efficiently encoded multiobjective algorithm for the solution of the cardinality constrained portfolio optimization problem,Liagkouras K.; Metaxiotis K.,10.1007/s10479-016-2377-z,2018,Article,27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995758182&doi=10.1007%2fs10479-016-2377-z&partnerID=40&md5=b7427d42e1b58d9dde4bab6900b904d2
scopus,Algorithm research based on multi period fuzzy portfolio optimization model,Cao J.L.,10.1007/s10586-018-2191-2,2019,Article,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042933088&doi=10.1007%2fs10586-018-2191-2&partnerID=40&md5=ee109275efcec5f7288b9cccddde0395
scopus,Gray Wolf Optimization algorithm for multi-constraints second-order stochastic dominance portfolio optimization,Ren Y.; Ye T.; Huang M.; Feng S.,10.3390/a11050072,2018,Article,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052916780&doi=10.3390%2fa11050072&partnerID=40&md5=8f80ae8f7d4d92f728d16f6471051c1b
scopus,Deployment optimization of multi-stage investment portfolio service and hybrid intelligent algorithm under edge computing,Zhang X.; Shen H.; Lv Z.,10.1371/journal.pone.0252244,2021,Article,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107323794&doi=10.1371%2fjournal.pone.0252244&partnerID=40&md5=b91410a0f1decbcbef1bff41f72196a2
scopus,A Sophisticated Optimization Algorithm for Obtaining a Group Trading Strategy Portfolio and Its Stop-Loss and Take-Profit Points,Chen C.-H.; Chen Y.-H.; Wu M.-E.; Hong T.-P.,10.1109/SMC.2018.00579,2018,Conference paper,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062222102&doi=10.1109%2fSMC.2018.00579&partnerID=40&md5=cb404fbf40f5cfcd93d1adb66fc0f9ef
scopus,Portfolio optimization under mean-CVaR simulation with copulas on the Vietnamese stock exchange,Anh L.T.; Binh D.T.T.,10.21511/imfi.18(2).2021.22,2021,Review,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109086859&doi=10.21511%2fimfi.18%282%29.2021.22&partnerID=40&md5=9e10ffa2bc9606277c5dd39068586e1e
scopus,A DEA-based MOEA/D algorithm for portfolio optimization,Zhou Z.; Liu X.; Xiao H.; Wu S.; Liu Y.,10.1007/s10586-018-2316-7,2019,Article,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043373103&doi=10.1007%2fs10586-018-2316-7&partnerID=40&md5=70211957dd22d5787077a13f6d54278c
scopus,Avoiding the Downside: A Practical Review of the Critical Line Algorithm for Mean-Semivariance Portfolio Optimization,Markowitz H.M.; Starer D.; Fram H.; Gerber S.,10.1142/9789811222634_0016,2020,Book chapter,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095842512&doi=10.1142%2f9789811222634_0016&partnerID=40&md5=d3463f670486901e4e30b3b29921d7df
scopus,An Effective Approach for the Diverse Group Stock Portfolio Optimization Using Grouping Genetic Algorithm,Chen C.-H.; Lu C.-Y.; Hong T.-P.; Lin J.C.-W.; Gaeta M.,10.1109/ACCESS.2019.2949055,2019,Article,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074693427&doi=10.1109%2fACCESS.2019.2949055&partnerID=40&md5=6f98d408f9e5e0ecf75d7cf225db1dad
scopus,Comment on “An algorithm for moment-matching scenario generation with application to financial portfolio optimization”,Contreras J.P.; Bosch P.; Herrera M.,10.1016/j.ejor.2018.02.028,2018,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042674959&doi=10.1016%2fj.ejor.2018.02.028&partnerID=40&md5=2b9b571eafac61cf7a897428b160e2b4
scopus,Implementation of agglomerative clustering and genetic algorithm on stock portfolio optimization with possibilistic constraints,Yusuf R.; Handari B.D.; Hertono G.F.,10.1063/1.5132455,2019,Conference paper,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075005935&doi=10.1063%2f1.5132455&partnerID=40&md5=82c1e73e7f5a7c97a68395433d33636a
scopus,Finance-based scheduling multi-objective optimization: Benchmarking of evolutionary algorithms,El-Abbasy M.S.; Elazouni A.; Zayed T.,10.1016/j.autcon.2020.103392,2020,Article,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090862980&doi=10.1016%2fj.autcon.2020.103392&partnerID=40&md5=f992069b0428bf7ade981a7cf65b9482
scopus,Performance evaluation of genetic algorithm & fuzzy logic for portfolio optimization,Panwar D.; Jha M.; Srivastava N.,10.35940/ijrte.C4494.098319,2019,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073565177&doi=10.35940%2fijrte.C4494.098319&partnerID=40&md5=ee801eeeb8e425b02bb585b1d0b37b25
scopus,A biased-randomized iterated local search algorithm for rich portfolio optimization,Kizys R.; Juan A.A.; Sawik B.; Calvet L.,10.3390/app9173509,2019,Article,32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072262501&doi=10.3390%2fapp9173509&partnerID=40&md5=3368d686f3c97a312869552d490e8549
scopus,A Comparative Study on Multi-objective Evolutionary Algorithms for Tri-objective Mean-Risk-Cardinality Portfolio Optimization Problems,Mamanis G.,10.1007/978-3-030-72929-5_13,2021,Book chapter,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107218689&doi=10.1007%2f978-3-030-72929-5_13&partnerID=40&md5=92cd4969e54d88b908b2cb52237f7f6a
scopus,A Hybrid Model for Financial Portfolio Optimization Based on LS-SVM and a Clustering Algorithm,Marković I.P.; Stanković J.; Stojanović M.B.; Stanković J.,10.1007/978-3-030-33110-8_15,2019,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075764636&doi=10.1007%2f978-3-030-33110-8_15&partnerID=40&md5=df7f0832a25791d8b73e4ad04d0b0790
scopus,The genetic algorithm: An application on portfolio optimization,Mercangöz B.A.; Eroglu E.,10.4018/978-1-5225-8103-1.ch007,2019,Book chapter,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077784690&doi=10.4018%2f978-1-5225-8103-1.ch007&partnerID=40&md5=e55b373c5c44514b1daa42b601067bf0
scopus,Bayesian networks and evolutionary algorithms as a tool for portfolio simulation and optimization,Klepac G.; Mrsic L.,10.4018/978-1-5225-8103-1.ch003,2019,Book chapter,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077785379&doi=10.4018%2f978-1-5225-8103-1.ch003&partnerID=40&md5=e939697d153c617ee647bb87b771acb2
scopus,Particle swarm algorithm: An application on portfolio optimization,Mercangoz B.A.,10.4018/978-1-5225-8103-1.ch002,2019,Book chapter,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077784965&doi=10.4018%2f978-1-5225-8103-1.ch002&partnerID=40&md5=7e3046a4d3849d7b0c5dcd78ac2cf443
scopus,A new three-dimensional encoding multiobjective evolutionary algorithm with application to the portfolio optimization problem,Liagkouras K.,10.1016/j.knosys.2018.08.025,2019,Article,30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052943582&doi=10.1016%2fj.knosys.2018.08.025&partnerID=40&md5=67250b7c798f3c0e456c2eeffa03a90e
scopus,A New Interactive Algorithm for Continuous Multiple Criteria Problems: A Portfolio Optimization Example,Karakaya G.; Sakar C.T.,10.1142/S0219622020500510,2021,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099641319&doi=10.1142%2fS0219622020500510&partnerID=40&md5=9a8728d0c25a8724c9a6681f1017d76f
scopus,Portfolio optimization in selected Tehran stock exchange companies (symbiotic organisms search and memetic algorithms),Feshari M.; Nazari R.,,2018,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051467082&partnerID=40&md5=9b945b2013d55d7d35b5837e6ee3c047
scopus,Multi-period mean-variance portfolio optimization based on Monte-Carlo simulation,Cong F.; Oosterlee C.W.,10.1016/j.jedc.2016.01.001,2016,Article,39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959449790&doi=10.1016%2fj.jedc.2016.01.001&partnerID=40&md5=49de826b4a4a4d6cb7de7ddf93b4dda5
scopus,Solving norm constrained portfolio optimization via coordinate-wise descent algorithms,Yen Y.-M.; Yen T.-J.,10.1016/j.csda.2013.07.010,2014,Article,39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901622904&doi=10.1016%2fj.csda.2013.07.010&partnerID=40&md5=54f6d4738256c5e66029fc01cecd349f
scopus,A modified harmony search algorithm for portfolio optimization problems,Tuo S.,,2016,Article,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017609746&partnerID=40&md5=f22633db40ddaac307205187afb75588
scopus,Artificial bee colony algorithm for portfolio optimization,Ge M.,10.1109/ICICIP.2014.7010297,2015,Conference paper,7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925339094&doi=10.1109%2fICICIP.2014.7010297&partnerID=40&md5=ce8ea4b6b8c318f4f1b3690495e8d89e
scopus,"Resolving a portfolio optimization problem with investment timing through using the analytic hierarchy process, support vector regression and a genetic algorithm",Hsu C.-M.,10.2991/ijcis.11.1.77,2018,Article,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062703873&doi=10.2991%2fijcis.11.1.77&partnerID=40&md5=4ed4de392db026347a64e2033f616c89
scopus,Genetic algorithm designed for solving portfolio optimization problems subjected to cardinality constraint,Jalota H.; Thakur M.,10.1007/s13198-017-0574-z,2018,Article,14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044297548&doi=10.1007%2fs13198-017-0574-z&partnerID=40&md5=4e40c3e63be7e8f1397869a619db7296
scopus,Upgraded firefly algorithm for portfolio optimization problem,Tuba M.; Bacanin N.,10.1109/UKSim.2014.25,2014,Conference paper,30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926623219&doi=10.1109%2fUKSim.2014.25&partnerID=40&md5=69ed24a164d09194fb7058d4cc3b69b4
scopus,Accelerating the critical line algorithm for portfolio optimization using GPUs,"Singh R.H.; Barford L.; Harris F., Jr.",10.1007/978-3-319-32467-8_29,2016,Conference paper,4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962717418&doi=10.1007%2f978-3-319-32467-8_29&partnerID=40&md5=763ac79f692def5f85de414061b498a9
scopus,Cutting plane algorithms for mean-CVaR portfolio optimization with nonconvex transaction costs,Takano Y.; Nanjo K.; Sukegawa N.; Mizuno S.,10.1007/s10287-014-0209-7,2014,Article,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939894304&doi=10.1007%2fs10287-014-0209-7&partnerID=40&md5=419384d056972802c4b911d4c51a58a7
scopus,A GGA-based algorithm for group trading strategy portfolio optimization,Chen C.-H.; Chen Y.-H.; Wu M.-E.,10.1145/3092090.3092135,2017,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028754138&doi=10.1145%2f3092090.3092135&partnerID=40&md5=d9a445de87e77f4dc6c85a4123d91617
scopus,A portfolio optimization approach to selection in multiobjective evolutionary algorithms,Yevseyeva I.; Guerreiro A.P.; Emmerich M.T.M.; Fonseca C.M.,10.1007/978-3-319-10762-2_66,2014,Article,25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921746561&doi=10.1007%2f978-3-319-10762-2_66&partnerID=40&md5=1f18e4968bcfaf650c528dc42e9433d4
scopus,Portfolio optimization using novel co-variance guided Artificial Bee Colony algorithm,Kumar D.; Mishra K.K.,10.1016/j.swevo.2016.11.003,2017,Article,57,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007210029&doi=10.1016%2fj.swevo.2016.11.003&partnerID=40&md5=d8ec88e06088aef7b2fa8c16baf2a11d
scopus,Algorithm portfolios and teams in parallel optimization,Shylo V.P.; Shylo O.V.,10.1007/978-3-319-68640-0_23,2017,Book chapter,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042415440&doi=10.1007%2f978-3-319-68640-0_23&partnerID=40&md5=d8b6b76f99dbf0918965a11f59cb19f0
scopus,Multi-objective optimization of trading strategies using genetic algorithms in unstable environments,Pinto J.M.; Neves R.F.; Horta N.,,2015,Book chapter,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955734946&partnerID=40&md5=6b809992f4e96e07f1f6129ca0effba6
scopus,An island-based algorithm for group stock portfolio optimization,Chen C.-H.; Shen W.-Y.; Hong T.-P.; Su J.-H.,10.1109/IFSA-SCIS.2017.8023354,2017,Conference paper,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030858172&doi=10.1109%2fIFSA-SCIS.2017.8023354&partnerID=40&md5=3a634cdbbbd7283964130130c75d8a99
scopus,Portfolio optimization in single-period under cumulative prospect theory using genetic algorithms and bootstrap method,Gong C.; Xu C.; Ando M.,10.1109/ICSSSM.2016.7538542,2016,Conference paper,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986551002&doi=10.1109%2fICSSSM.2016.7538542&partnerID=40&md5=172b63173b7739c722a21f2f2b6672ce
scopus,Portfolio Optimization Based on Novel Risk Assessment Strategy with Genetic Algorithm,Liao B.-Y.; Chen H.-W.; Kuo S.-Y.; Chou Y.-H.,10.1109/SMC.2015.498,2016,Conference paper,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964509931&doi=10.1109%2fSMC.2015.498&partnerID=40&md5=d3e099ec213e2ad3db0d25161ceaaaad
